n,k,steps_to_collapse,final_value,cycle
1,1,1,0,
2,2,2,0,
3,2,1,0,
4,3,2,0,
5,3,1,0,
6,3,2,0,
7,3,1,0,
8,4,2,0,
9,4,1,0,
10,4,2,0,
11,4,3,0,
12,4,2,0,
13,4,3,0,
14,4,2,0,
15,4,1,0,
16,5,2,0,
17,5,1,0,
18,5,2,0,
19,5,3,0,
20,5,2,0,
21,5,1,0,
22,5,2,0,
23,5,3,0,
24,5,2,0,
25,5,3,0,
26,5,2,0,
27,5,1,0,
28,5,2,0,
29,5,3,0,
30,5,2,0,
31,5,1,0,
32,6,2,0,
33,6,1,0,
34,6,2,0,
35,6,3,0,
36,6,2,0,
37,6,3,0,
38,6,4,0,
39,6,3,0,
40,6,4,0,
41,6,3,0,
42,6,2,0,
43,6,3,0,
44,6,2,0,
45,6,1,0,
46,6,2,0,
47,6,3,0,
48,6,2,0,
49,6,3,0,
50,6,2,0,
51,6,1,0,
52,6,4,0,
53,6,3,0,
54,6,2,0,
55,6,3,0,
56,6,4,0,
57,6,3,0,
58,6,4,0,
59,6,3,0,
60,6,2,0,
61,6,3,0,
62,6,2,0,
63,6,1,0,
64,7,2,0,
65,7,1,0,
66,7,2,0,
67,7,3,0,
68,7,2,0,
69,7,3,0,
70,7,2,0,
71,7,3,0,
72,7,2,0,
73,7,1,0,
74,7,2,0,
75,7,3,0,
76,7,2,0,
77,7,3,0,
78,7,2,0,
79,7,3,0,
80,7,4,0,
81,7,3,0,
82,7,2,0,
83,7,3,0,
84,7,2,0,
85,7,1,0,
86,7,2,0,
87,7,3,0,
88,7,4,0,
89,7,3,0,
90,7,2,0,
91,7,3,0,
92,7,2,0,
93,7,1,0,
94,7,2,0,
95,7,3,0,
96,7,2,0,
97,7,3,0,
98,7,2,0,
99,7,1,0,
100,7,4,0,
101,7,3,0,
102,7,2,0,
103,7,3,0,
104,7,2,0,
105,7,3,0,
106,7,2,0,
107,7,1,0,
108,7,4,0,
109,7,3,0,
110,7,2,0,
111,7,3,0,
112,7,4,0,
113,7,3,0,
114,7,4,0,
115,7,3,0,
116,7,2,0,
117,7,3,0,
118,7,2,0,
119,7,1,0,
120,7,4,0,
121,7,3,0,
122,7,4,0,
123,7,3,0,
124,7,2,0,
125,7,3,0,
126,7,2,0,
